roadmap_id,skill_id,level,duration_weeks,learning_goals,recommended_resources,milestone
1,1,Beginner,4,"[""Understand syntax and setup"", ""Build simple programs using Go"", ""Learn standard libraries""]","Go crash course, Official Go documentation",Complete 5 beginner console projects in Go.
2,1,Intermediate,6,"[""Explore concurrency and structures"", ""Build CRUD backend service with Go"", ""Unit testing""]","Intermediate Go programming course, GitHub boilerplate projects",Build and deploy a scalable microservice using Go.
3,1,Advanced,8,"[""Memory profiling and GC tuning"", ""Distributed scale structures with Go"", ""Architectural reviews""]","Advanced Go design guides, Production scale open-source repos",Optimize latency and load throughput of a Go production system by 30%.
4,2,Beginner,4,"[""Understand syntax and setup"", ""Build simple programs using Java"", ""Learn standard libraries""]","Java crash course, Official Java documentation",Complete 5 beginner console projects in Java.
5,2,Intermediate,6,"[""Explore concurrency and structures"", ""Build CRUD backend service with Java"", ""Unit testing""]","Intermediate Java programming course, GitHub boilerplate projects",Build and deploy a scalable microservice using Java.
6,2,Advanced,8,"[""Memory profiling and GC tuning"", ""Distributed scale structures with Java"", ""Architectural reviews""]","Advanced Java design guides, Production scale open-source repos",Optimize latency and load throughput of a Java production system by 30%.
7,3,Beginner,4,"[""Understand syntax and setup"", ""Build simple programs using Python"", ""Learn standard libraries""]","Python crash course, Official Python documentation",Complete 5 beginner console projects in Python.
8,3,Intermediate,6,"[""Explore concurrency and structures"", ""Build CRUD backend service with Python"", ""Unit testing""]","Intermediate Python programming course, GitHub boilerplate projects",Build and deploy a scalable microservice using Python.
9,3,Advanced,8,"[""Memory profiling and GC tuning"", ""Distributed scale structures with Python"", ""Architectural reviews""]","Advanced Python design guides, Production scale open-source repos",Optimize latency and load throughput of a Python production system by 30%.
10,4,Beginner,4,"[""Understand syntax and setup"", ""Build simple programs using Kafka"", ""Learn standard libraries""]","Kafka crash course, Official Kafka documentation",Complete 5 beginner console projects in Kafka.
11,4,Intermediate,6,"[""Explore concurrency and structures"", ""Build CRUD backend service with Kafka"", ""Unit testing""]","Intermediate Kafka programming course, GitHub boilerplate projects",Build and deploy a scalable microservice using Kafka.
12,4,Advanced,8,"[""Memory profiling and GC tuning"", ""Distributed scale structures with Kafka"", ""Architectural reviews""]","Advanced Kafka design guides, Production scale open-source repos",Optimize latency and load throughput of a Kafka production system by 30%.
13,5,Beginner,4,"[""Understand syntax and setup"", ""Build simple programs using Redis"", ""Learn standard libraries""]","Redis crash course, Official Redis documentation",Complete 5 beginner console projects in Redis.
14,5,Intermediate,6,"[""Explore concurrency and structures"", ""Build CRUD backend service with Redis"", ""Unit testing""]","Intermediate Redis programming course, GitHub boilerplate projects",Build and deploy a scalable microservice using Redis.
15,5,Advanced,8,"[""Memory profiling and GC tuning"", ""Distributed scale structures with Redis"", ""Architectural reviews""]","Advanced Redis design guides, Production scale open-source repos",Optimize latency and load throughput of a Redis production system by 30%.
16,6,Beginner,4,"[""Understand syntax and setup"", ""Build simple programs using PostgreSQL"", ""Learn standard libraries""]","PostgreSQL crash course, Official PostgreSQL documentation",Complete 5 beginner console projects in PostgreSQL.
17,6,Intermediate,6,"[""Explore concurrency and structures"", ""Build CRUD backend service with PostgreSQL"", ""Unit testing""]","Intermediate PostgreSQL programming course, GitHub boilerplate projects",Build and deploy a scalable microservice using PostgreSQL.
18,6,Advanced,8,"[""Memory profiling and GC tuning"", ""Distributed scale structures with PostgreSQL"", ""Architectural reviews""]","Advanced PostgreSQL design guides, Production scale open-source repos",Optimize latency and load throughput of a PostgreSQL production system by 30%.
19,7,Beginner,4,"[""Understand syntax and setup"", ""Build simple programs using Docker"", ""Learn standard libraries""]","Docker crash course, Official Docker documentation",Complete 5 beginner console projects in Docker.
20,7,Intermediate,6,"[""Explore concurrency and structures"", ""Build CRUD backend service with Docker"", ""Unit testing""]","Intermediate Docker programming course, GitHub boilerplate projects",Build and deploy a scalable microservice using Docker.
21,7,Advanced,8,"[""Memory profiling and GC tuning"", ""Distributed scale structures with Docker"", ""Architectural reviews""]","Advanced Docker design guides, Production scale open-source repos",Optimize latency and load throughput of a Docker production system by 30%.
22,8,Beginner,4,"[""Understand syntax and setup"", ""Build simple programs using Kubernetes"", ""Learn standard libraries""]","Kubernetes crash course, Official Kubernetes documentation",Complete 5 beginner console projects in Kubernetes.
23,8,Intermediate,6,"[""Explore concurrency and structures"", ""Build CRUD backend service with Kubernetes"", ""Unit testing""]","Intermediate Kubernetes programming course, GitHub boilerplate projects",Build and deploy a scalable microservice using Kubernetes.
24,8,Advanced,8,"[""Memory profiling and GC tuning"", ""Distributed scale structures with Kubernetes"", ""Architectural reviews""]","Advanced Kubernetes design guides, Production scale open-source repos",Optimize latency and load throughput of a Kubernetes production system by 30%.
25,9,Beginner,4,"[""Understand syntax and setup"", ""Build simple programs using gRPC"", ""Learn standard libraries""]","gRPC crash course, Official gRPC documentation",Complete 5 beginner console projects in gRPC.
26,9,Intermediate,6,"[""Explore concurrency and structures"", ""Build CRUD backend service with gRPC"", ""Unit testing""]","Intermediate gRPC programming course, GitHub boilerplate projects",Build and deploy a scalable microservice using gRPC.
27,9,Advanced,8,"[""Memory profiling and GC tuning"", ""Distributed scale structures with gRPC"", ""Architectural reviews""]","Advanced gRPC design guides, Production scale open-source repos",Optimize latency and load throughput of a gRPC production system by 30%.
28,10,Beginner,4,"[""Understand syntax and setup"", ""Build simple programs using Microservices"", ""Learn standard libraries""]","Microservices crash course, Official Microservices documentation",Complete 5 beginner console projects in Microservices.
29,10,Intermediate,6,"[""Explore concurrency and structures"", ""Build CRUD backend service with Microservices"", ""Unit testing""]","Intermediate Microservices programming course, GitHub boilerplate projects",Build and deploy a scalable microservice using Microservices.
30,10,Advanced,8,"[""Memory profiling and GC tuning"", ""Distributed scale structures with Microservices"", ""Architectural reviews""]","Advanced Microservices design guides, Production scale open-source repos",Optimize latency and load throughput of a Microservices production system by 30%.
31,11,Beginner,4,"[""Understand syntax and setup"", ""Build simple programs using Spring Boot"", ""Learn standard libraries""]","Spring Boot crash course, Official Spring Boot documentation",Complete 5 beginner console projects in Spring Boot.
32,11,Intermediate,6,"[""Explore concurrency and structures"", ""Build CRUD backend service with Spring Boot"", ""Unit testing""]","Intermediate Spring Boot programming course, GitHub boilerplate projects",Build and deploy a scalable microservice using Spring Boot.
33,11,Advanced,8,"[""Memory profiling and GC tuning"", ""Distributed scale structures with Spring Boot"", ""Architectural reviews""]","Advanced Spring Boot design guides, Production scale open-source repos",Optimize latency and load throughput of a Spring Boot production system by 30%.
34,12,Beginner,4,"[""Understand syntax and setup"", ""Build simple programs using NodeJS"", ""Learn standard libraries""]","NodeJS crash course, Official NodeJS documentation",Complete 5 beginner console projects in NodeJS.
35,12,Intermediate,6,"[""Explore concurrency and structures"", ""Build CRUD backend service with NodeJS"", ""Unit testing""]","Intermediate NodeJS programming course, GitHub boilerplate projects",Build and deploy a scalable microservice using NodeJS.
36,12,Advanced,8,"[""Memory profiling and GC tuning"", ""Distributed scale structures with NodeJS"", ""Architectural reviews""]","Advanced NodeJS design guides, Production scale open-source repos",Optimize latency and load throughput of a NodeJS production system by 30%.
37,13,Beginner,4,"[""Understand syntax and setup"", ""Build simple programs using AWS"", ""Learn standard libraries""]","AWS crash course, Official AWS documentation",Complete 5 beginner console projects in AWS.
38,13,Intermediate,6,"[""Explore concurrency and structures"", ""Build CRUD backend service with AWS"", ""Unit testing""]","Intermediate AWS programming course, GitHub boilerplate projects",Build and deploy a scalable microservice using AWS.
39,13,Advanced,8,"[""Memory profiling and GC tuning"", ""Distributed scale structures with AWS"", ""Architectural reviews""]","Advanced AWS design guides, Production scale open-source repos",Optimize latency and load throughput of a AWS production system by 30%.
40,14,Beginner,4,"[""Understand syntax and setup"", ""Build simple programs using GCP"", ""Learn standard libraries""]","GCP crash course, Official GCP documentation",Complete 5 beginner console projects in GCP.
41,14,Intermediate,6,"[""Explore concurrency and structures"", ""Build CRUD backend service with GCP"", ""Unit testing""]","Intermediate GCP programming course, GitHub boilerplate projects",Build and deploy a scalable microservice using GCP.
42,14,Advanced,8,"[""Memory profiling and GC tuning"", ""Distributed scale structures with GCP"", ""Architectural reviews""]","Advanced GCP design guides, Production scale open-source repos",Optimize latency and load throughput of a GCP production system by 30%.
43,15,Beginner,4,"[""Understand syntax and setup"", ""Build simple programs using DynamoDB"", ""Learn standard libraries""]","DynamoDB crash course, Official DynamoDB documentation",Complete 5 beginner console projects in DynamoDB.
44,15,Intermediate,6,"[""Explore concurrency and structures"", ""Build CRUD backend service with DynamoDB"", ""Unit testing""]","Intermediate DynamoDB programming course, GitHub boilerplate projects",Build and deploy a scalable microservice using DynamoDB.
45,15,Advanced,8,"[""Memory profiling and GC tuning"", ""Distributed scale structures with DynamoDB"", ""Architectural reviews""]","Advanced DynamoDB design guides, Production scale open-source repos",Optimize latency and load throughput of a DynamoDB production system by 30%.
46,16,Beginner,4,"[""Understand syntax and setup"", ""Build simple programs using MySQL"", ""Learn standard libraries""]","MySQL crash course, Official MySQL documentation",Complete 5 beginner console projects in MySQL.
47,16,Intermediate,6,"[""Explore concurrency and structures"", ""Build CRUD backend service with MySQL"", ""Unit testing""]","Intermediate MySQL programming course, GitHub boilerplate projects",Build and deploy a scalable microservice using MySQL.
48,16,Advanced,8,"[""Memory profiling and GC tuning"", ""Distributed scale structures with MySQL"", ""Architectural reviews""]","Advanced MySQL design guides, Production scale open-source repos",Optimize latency and load throughput of a MySQL production system by 30%.
49,17,Beginner,4,"[""Understand syntax and setup"", ""Build simple programs using ElasticSearch"", ""Learn standard libraries""]","ElasticSearch crash course, Official ElasticSearch documentation",Complete 5 beginner console projects in ElasticSearch.
50,17,Intermediate,6,"[""Explore concurrency and structures"", ""Build CRUD backend service with ElasticSearch"", ""Unit testing""]","Intermediate ElasticSearch programming course, GitHub boilerplate projects",Build and deploy a scalable microservice using ElasticSearch.
51,17,Advanced,8,"[""Memory profiling and GC tuning"", ""Distributed scale structures with ElasticSearch"", ""Architectural reviews""]","Advanced ElasticSearch design guides, Production scale open-source repos",Optimize latency and load throughput of a ElasticSearch production system by 30%.
52,18,Beginner,4,"[""Understand syntax and setup"", ""Build simple programs using Django"", ""Learn standard libraries""]","Django crash course, Official Django documentation",Complete 5 beginner console projects in Django.
53,18,Intermediate,6,"[""Explore concurrency and structures"", ""Build CRUD backend service with Django"", ""Unit testing""]","Intermediate Django programming course, GitHub boilerplate projects",Build and deploy a scalable microservice using Django.
54,18,Advanced,8,"[""Memory profiling and GC tuning"", ""Distributed scale structures with Django"", ""Architectural reviews""]","Advanced Django design guides, Production scale open-source repos",Optimize latency and load throughput of a Django production system by 30%.
55,19,Beginner,4,"[""Understand syntax and setup"", ""Build simple programs using React"", ""Learn standard libraries""]","React crash course, Official React documentation",Complete 5 beginner console projects in React.
56,19,Intermediate,6,"[""Explore concurrency and structures"", ""Build CRUD backend service with React"", ""Unit testing""]","Intermediate React programming course, GitHub boilerplate projects",Build and deploy a scalable microservice using React.
