template_id,qualification_id,role_id,total_duration_months,overview
1,1,1,48,"1st Year Student custom roadmap template targeting Software Development Engineer (SDE) over 48 months. Covers essential programming, specialization skills, system design, and placement prep milestones."
2,1,2,48,"1st Year Student custom roadmap template targeting Backend Developer over 48 months. Covers essential programming, specialization skills, system design, and placement prep milestones."
3,1,3,48,"1st Year Student custom roadmap template targeting Frontend Developer over 48 months. Covers essential programming, specialization skills, system design, and placement prep milestones."
4,1,4,48,"1st Year Student custom roadmap template targeting Full Stack Developer over 48 months. Covers essential programming, specialization skills, system design, and placement prep milestones."
5,1,5,48,"1st Year Student custom roadmap template targeting Software Engineer over 48 months. Covers essential programming, specialization skills, system design, and placement prep milestones."
6,1,6,48,"1st Year Student custom roadmap template targeting Mobile App Developer (Android) over 48 months. Covers essential programming, specialization skills, system design, and placement prep milestones."
7,1,7,48,"1st Year Student custom roadmap template targeting Mobile App Developer (iOS) over 48 months. Covers essential programming, specialization skills, system design, and placement prep milestones."
8,1,8,48,"1st Year Student custom roadmap template targeting Flutter Developer over 48 months. Covers essential programming, specialization skills, system design, and placement prep milestones."
9,1,9,48,"1st Year Student custom roadmap template targeting React Native Developer over 48 months. Covers essential programming, specialization skills, system design, and placement prep milestones."
10,1,10,48,"1st Year Student custom roadmap template targeting DevOps Engineer over 48 months. Covers essential programming, specialization skills, system design, and placement prep milestones."
11,1,11,48,"1st Year Student custom roadmap template targeting Cloud Engineer over 48 months. Covers essential programming, specialization skills, system design, and placement prep milestones."
12,1,12,48,"1st Year Student custom roadmap template targeting Site Reliability Engineer (SRE) over 48 months. Covers essential programming, specialization skills, system design, and placement prep milestones."
13,1,13,48,"1st Year Student custom roadmap template targeting Data Analyst over 48 months. Covers essential programming, specialization skills, system design, and placement prep milestones."
14,1,14,48,"1st Year Student custom roadmap template targeting Data Engineer over 48 months. Covers essential programming, specialization skills, system design, and placement prep milestones."
15,1,15,48,"1st Year Student custom roadmap template targeting Data Scientist over 48 months. Covers essential programming, specialization skills, system design, and placement prep milestones."
16,1,16,48,"1st Year Student custom roadmap template targeting AI Engineer over 48 months. Covers essential programming, specialization skills, system design, and placement prep milestones."
17,1,17,48,"1st Year Student custom roadmap template targeting Machine Learning Engineer over 48 months. Covers essential programming, specialization skills, system design, and placement prep milestones."
18,1,18,48,"1st Year Student custom roadmap template targeting Deep Learning Engineer over 48 months. Covers essential programming, specialization skills, system design, and placement prep milestones."
19,1,19,48,"1st Year Student custom roadmap template targeting NLP Engineer over 48 months. Covers essential programming, specialization skills, system design, and placement prep milestones."
20,1,20,48,"1st Year Student custom roadmap template targeting Computer Vision Engineer over 48 months. Covers essential programming, specialization skills, system design, and placement prep milestones."
21,1,21,48,"1st Year Student custom roadmap template targeting MLOps Engineer over 48 months. Covers essential programming, specialization skills, system design, and placement prep milestones."
22,1,22,48,"1st Year Student custom roadmap template targeting Cyber Security Engineer over 48 months. Covers essential programming, specialization skills, system design, and placement prep milestones."
23,1,23,48,"1st Year Student custom roadmap template targeting Security Analyst over 48 months. Covers essential programming, specialization skills, system design, and placement prep milestones."
24,1,24,48,"1st Year Student custom roadmap template targeting SDET (Software Development Engineer in Test) over 48 months. Covers essential programming, specialization skills, system design, and placement prep milestones."
25,1,25,48,"1st Year Student custom roadmap template targeting QA Automation Engineer over 48 months. Covers essential programming, specialization skills, system design, and placement prep milestones."
26,1,26,48,"1st Year Student custom roadmap template targeting Product Manager over 48 months. Covers essential programming, specialization skills, system design, and placement prep milestones."
27,1,27,48,"1st Year Student custom roadmap template targeting Associate Product Manager (APM) over 48 months. Covers essential programming, specialization skills, system design, and placement prep milestones."
28,1,28,48,"1st Year Student custom roadmap template targeting Business Analyst over 48 months. Covers essential programming, specialization skills, system design, and placement prep milestones."
29,1,29,48,"1st Year Student custom roadmap template targeting UI/UX Designer over 48 months. Covers essential programming, specialization skills, system design, and placement prep milestones."
30,1,30,48,"1st Year Student custom roadmap template targeting Embedded Software Engineer over 48 months. Covers essential programming, specialization skills, system design, and placement prep milestones."
31,2,1,36,"2nd Year Student custom roadmap template targeting Software Development Engineer (SDE) over 36 months. Covers essential programming, specialization skills, system design, and placement prep milestones."
32,2,2,36,"2nd Year Student custom roadmap template targeting Backend Developer over 36 months. Covers essential programming, specialization skills, system design, and placement prep milestones."
33,2,3,36,"2nd Year Student custom roadmap template targeting Frontend Developer over 36 months. Covers essential programming, specialization skills, system design, and placement prep milestones."
34,2,4,36,"2nd Year Student custom roadmap template targeting Full Stack Developer over 36 months. Covers essential programming, specialization skills, system design, and placement prep milestones."
35,2,5,36,"2nd Year Student custom roadmap template targeting Software Engineer over 36 months. Covers essential programming, specialization skills, system design, and placement prep milestones."
36,2,6,36,"2nd Year Student custom roadmap template targeting Mobile App Developer (Android) over 36 months. Covers essential programming, specialization skills, system design, and placement prep milestones."
37,2,7,36,"2nd Year Student custom roadmap template targeting Mobile App Developer (iOS) over 36 months. Covers essential programming, specialization skills, system design, and placement prep milestones."
38,2,8,36,"2nd Year Student custom roadmap template targeting Flutter Developer over 36 months. Covers essential programming, specialization skills, system design, and placement prep milestones."
