question_id,company_role_id,category,difficulty,question,answer,explanation,tags,frequency
1,1,DSA,Easy,"Optimal Solution for 'Two Sum': Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target.","Use a hash map to store seen numbers and their indices, checking if target - num exists.",Time complexity is O(N) as we traverse the list once and lookup is O(1). Space complexity is O(N).,"['Arrays', 'Hash Map']",Very Common
2,1,DSA,Easy,"Optimal Solution for 'Valid Parentheses': Given a string containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid.","Use a stack to push opening brackets, and pop to match them when seeing closing brackets.","Time Complexity: O(N), Space Complexity: O(N). Ensure the stack is empty at the end of traversal.",['Stack'],Very Common
3,1,DSA,Easy,Optimal Solution for 'Merge Two Sorted Lists': Merge two sorted linked lists and return it as a new sorted list.,"Compare heads of both lists, link the smaller node, and advance its pointer.",Time Complexity: O(N + M) where N and M are the lengths of the lists. Space Complexity: O(1).,['Linked List'],Very Common
4,1,DSA,Easy,Optimal Solution for 'Best Time to Buy and Sell Stock': Find the maximum profit you can achieve by buying and selling a stock on different days.,Track the minimum price seen so far and compute the profit on each day to find the max.,Time Complexity: O(N) with a single pass. Space Complexity: O(1).,"['Arrays', 'Dynamic Programming']",Very Common
5,1,DSA,Easy,"Optimal Solution for 'Valid Palindrome': Determine if a string is a palindrome, considering only alphanumeric characters and ignoring cases.","Use two pointers, one at the start and one at the end, moving towards the middle while comparing characters.","Time Complexity: O(N), Space Complexity: O(1) as we modify in-place.","['Two Pointers', 'Strings']",Common
6,1,DSA,Easy,Optimal Solution for 'Invert Binary Tree': Invert a binary tree (swap left and right subtrees recursively).,Use recursive DFS to swap left and right children of every node.,Time Complexity: O(N) since we visit every node. Space Complexity: O(H) for recursion stack.,"['Trees', 'Recursion']",Very Common
7,1,DSA,Easy,"Optimal Solution for 'Valid Anagram': Given two strings s and t, return true if t is an anagram of s, and false otherwise.",Count character frequencies using a hash map or an array of size 26 and compare them.,"Time Complexity: O(N), Space Complexity: O(1) if character set is fixed.","['Strings', 'Hash Map']",Common
8,1,DSA,Easy,"Optimal Solution for 'Binary Search': Given a sorted array of integers nums and a target, search target in nums in O(log N) time.","Use two pointers for low and high, find the mid point, and adjust bounds based on target comparison.",Time Complexity: O(log N) as search space is halved. Space Complexity: O(1).,['Binary Search'],Very Common
9,1,DSA,Easy,"Optimal Solution for 'Flood Fill': Perform a flood fill on a 2D image array given a starting pixel, a new color, and matching adjacent colors.",Use DFS or BFS starting from the given pixel to recursively color matching neighbor pixels.,Time Complexity: O(N) where N is number of pixels. Space Complexity: O(N) for recursive call stack.,"['Graphs', 'DFS', 'BFS']",Common
10,1,DSA,Easy,Optimal Solution for 'Lowest Common Ancestor of a BST': Find the lowest common ancestor (LCA) node of two given nodes in a BST.,"Traverse the tree from the root. If both nodes are smaller, move left; if larger, move right; else this is LCA.",Time Complexity: O(H) where H is tree height. Space Complexity: O(1) if iterative.,"['Trees', 'BST']",Common
