project_id,project_name,description,difficulty,estimated_days,outcome
1,Distributed Message Queue,Build a high-throughput message broker that supports publish-subscribe patterns and partition offsets.,Advanced,30,"Demonstrates distributed message routing, thread-safe queuing, and custom TCP protocols."
2,Distributed Key-Value Store,"Create a partitioned, replicated key-value storage engine using Raft consensus protocol.",Advanced,40,"Demonstrates consensus protocols, socket connections, and disk storage management."
3,API Gateway with Dynamic Rate Limiting,Implement a reverse proxy engine that routes requests and throttles requests using token bucket algorithm in Redis.,Intermediate,15,"Demonstrates middleware development, rate limiting, and reverse proxy routing."
4,Distributed Transaction Orchestrator (Saga),Write a coordinator service that manages multi-service updates using Saga pattern (compensating transactions).,Advanced,25,"Demonstrates event-driven transactional consistency, error boundaries, and state machines."
5,SaaS Multi-Tenant Database Router,Create a Java service that dynamically switches data sources based on tenant request headers using Hibernate/Postgres.,Intermediate,20,"Demonstrates tenant isolation patterns, pool pooling, and reflection configurations."
6,Log Aggregation & Search Pipeline,Create a high-speed log ingestion shipper that indexes system events into Elasticsearch database.,Advanced,21,"Demonstrates search query parsing, real-time log ingestion, and database indexing."
7,Websocket Chat Server at Scale,"Implement a server that handles 50,000 active websocket connections, broadcasts messages via Redis pub-sub.",Advanced,18,"Demonstrates async connection management, channels, and low-latency network I/O."
8,Job Scheduler Cron Engine,Build an offline task scheduler that queues tasks in PostgreSQL and executes them using worker threads.,Intermediate,14,"Demonstrates concurrent worker patterns, transactional locking, and task queues."
9,E-Commerce Inventory Lock Manager,Build an inventory checkout blocker service using Redis Distributed Locks (Redlock) to prevent overselling.,Intermediate,12,"Demonstrates concurrency control, lock lease handling, and caching."
10,Ride-Sharing Driver Matching Service,Implement a driver selection backend using spatial indexes (Uber H3 Geo-hashing) and WebSocket communication.,Advanced,28,"Demonstrates geospatial queries, real-time telemetry pipelines, and fast matching loops."
11,Video Streaming CDN Cache,Design and run a cache server that stores video segments and serves them via HTTP Range requests with LRU eviction.,Advanced,30,"Demonstrates storage design, network chunking, and memory eviction caching."
12,Ad-Click Analytics Dashboard,Build a stream processor that aggregates ad-click events per minute and displays metrics on a frontend chart.,Intermediate,16,"Demonstrates stream joins, time-series data aggregation, and real-time frontend charts."
13,Distributed Web Crawler,Build a multithreaded link indexer that respects robots.txt and crawls sites concurrently using BFS.,Intermediate,15,"Demonstrates crawler state management, duplicate filtering, and rate limiting."
14,Search Auto-complete System,Create a prefix-matching auto-complete service using Trie data structures and high-speed memory caching.,Intermediate,14,"Demonstrates prefix trees, input debouncing, and search indexing."
15,Real-Time Leaderboard System,"Build a high-performance gaming scoreboard using Redis Sorted Sets (ZSET) updating 10,000 ranks per second.",Easy,10,"Demonstrates Redis data structures, sorted set updates, and score scoring logic."
16,Offline-first Note Syncing App,Develop an Android notes app that caches edits in SQLite and syncs with backend via background workers.,Intermediate,20,"Demonstrates offline database synchronization, network change listeners, and background sync."
17,Personal Finance Tracker Dashboard,"Build a dashboard showing income, expenses, monthly budgets, and chart visualizations using Django and React.",Easy,12,"Demonstrates basic full-stack APIs, database CRUD operations, and graphing charts."
18,Production SDE Project #18: Go Application,Build a production-ready application demonstrating advanced patterns in Go and PostgreSQL integration.,Intermediate,15,"Demonstrates robust implementation of Go features, environment setup, and deployment configurations."
19,Production SDE Project #19: Java Application,Build a production-ready application demonstrating advanced patterns in Java and Docker integration.,Advanced,16,"Demonstrates robust implementation of Java features, environment setup, and deployment configurations."
20,Production SDE Project #20: Python Application,Build a production-ready application demonstrating advanced patterns in Python and Kubernetes integration.,Intermediate,17,"Demonstrates robust implementation of Python features, environment setup, and deployment configurations."
21,Production SDE Project #21: Kafka Application,Build a production-ready application demonstrating advanced patterns in Kafka and gRPC integration.,Advanced,18,"Demonstrates robust implementation of Kafka features, environment setup, and deployment configurations."
22,Production SDE Project #22: Redis Application,Build a production-ready application demonstrating advanced patterns in Redis and Microservices integration.,Intermediate,19,"Demonstrates robust implementation of Redis features, environment setup, and deployment configurations."
23,Production SDE Project #23: PostgreSQL Application,Build a production-ready application demonstrating advanced patterns in PostgreSQL and Spring Boot integration.,Advanced,20,"Demonstrates robust implementation of PostgreSQL features, environment setup, and deployment configurations."
24,Production SDE Project #24: Docker Application,Build a production-ready application demonstrating advanced patterns in Docker and NodeJS integration.,Intermediate,21,"Demonstrates robust implementation of Docker features, environment setup, and deployment configurations."
25,Production SDE Project #25: Kubernetes Application,Build a production-ready application demonstrating advanced patterns in Kubernetes and AWS integration.,Advanced,22,"Demonstrates robust implementation of Kubernetes features, environment setup, and deployment configurations."
26,Production SDE Project #26: gRPC Application,Build a production-ready application demonstrating advanced patterns in gRPC and GCP integration.,Intermediate,23,"Demonstrates robust implementation of gRPC features, environment setup, and deployment configurations."
27,Production SDE Project #27: Microservices Application,Build a production-ready application demonstrating advanced patterns in Microservices and DynamoDB integration.,Advanced,24,"Demonstrates robust implementation of Microservices features, environment setup, and deployment configurations."
28,Production SDE Project #28: Spring Boot Application,Build a production-ready application demonstrating advanced patterns in Spring Boot and MySQL integration.,Intermediate,25,"Demonstrates robust implementation of Spring Boot features, environment setup, and deployment configurations."
29,Production SDE Project #29: NodeJS Application,Build a production-ready application demonstrating advanced patterns in NodeJS and ElasticSearch integration.,Advanced,26,"Demonstrates robust implementation of NodeJS features, environment setup, and deployment configurations."
30,Production SDE Project #30: AWS Application,Build a production-ready application demonstrating advanced patterns in AWS and Django integration.,Intermediate,27,"Demonstrates robust implementation of AWS features, environment setup, and deployment configurations."
31,Production SDE Project #31: GCP Application,Build a production-ready application demonstrating advanced patterns in GCP and React integration.,Advanced,28,"Demonstrates robust implementation of GCP features, environment setup, and deployment configurations."
32,Production SDE Project #32: DynamoDB Application,Build a production-ready application demonstrating advanced patterns in DynamoDB and TypeScript integration.,Intermediate,29,"Demonstrates robust implementation of DynamoDB features, environment setup, and deployment configurations."
33,Production SDE Project #33: MySQL Application,Build a production-ready application demonstrating advanced patterns in MySQL and NextJS integration.,Advanced,30,"Demonstrates robust implementation of MySQL features, environment setup, and deployment configurations."
34,Production SDE Project #34: ElasticSearch Application,Build a production-ready application demonstrating advanced patterns in ElasticSearch and Kotlin integration.,Intermediate,31,"Demonstrates robust implementation of ElasticSearch features, environment setup, and deployment configurations."
35,Production SDE Project #35: Django Application,Build a production-ready application demonstrating advanced patterns in Django and Android integration.,Advanced,32,"Demonstrates robust implementation of Django features, environment setup, and deployment configurations."
36,Production SDE Project #36: React Application,Build a production-ready application demonstrating advanced patterns in React and SRE integration.,Intermediate,33,"Demonstrates robust implementation of React features, environment setup, and deployment configurations."
37,Production SDE Project #37: TypeScript Application,Build a production-ready application demonstrating advanced patterns in TypeScript and System Design integration.,Advanced,34,"Demonstrates robust implementation of TypeScript features, environment setup, and deployment configurations."
38,Production SDE Project #38: NextJS Application,Build a production-ready application demonstrating advanced patterns in NextJS and Distributed Systems integration.,Intermediate,15,"Demonstrates robust implementation of NextJS features, environment setup, and deployment configurations."
39,Production SDE Project #39: Kotlin Application,Build a production-ready application demonstrating advanced patterns in Kotlin and Go integration.,Advanced,16,"Demonstrates robust implementation of Kotlin features, environment setup, and deployment configurations."
40,Production SDE Project #40: Android Application,Build a production-ready application demonstrating advanced patterns in Android and Java integration.,Intermediate,17,"Demonstrates robust implementation of Android features, environment setup, and deployment configurations."
41,Production SDE Project #41: SRE Application,Build a production-ready application demonstrating advanced patterns in SRE and Python integration.,Advanced,18,"Demonstrates robust implementation of SRE features, environment setup, and deployment configurations."
42,Production SDE Project #42: System Design Application,Build a production-ready application demonstrating advanced patterns in System Design and Kafka integration.,Intermediate,19,"Demonstrates robust implementation of System Design features, environment setup, and deployment configurations."
43,Production SDE Project #43: Distributed Systems Application,Build a production-ready application demonstrating advanced patterns in Distributed Systems and Redis integration.,Advanced,20,"Demonstrates robust implementation of Distributed Systems features, environment setup, and deployment configurations."
44,Production SDE Project #44: Go Application,Build a production-ready application demonstrating advanced patterns in Go and PostgreSQL integration.,Intermediate,21,"Demonstrates robust implementation of Go features, environment setup, and deployment configurations."
